hop,ips,cant_ips,time,min_times,max_times,zrtt,distinguido,pais,ciudad,lat lng
1,[186.138.57.1],1,196.1015,113.9700,477.2079,-0.3307,0, Argentina ,,-34.0000 -64.0000
2,[186.138.57.1],1,33.0058,132.0231,132.0231,-1.2687,0, Argentina ,,-34.0000 -64.0000
3,[],0,0.0000,0.0000,0.0000,-1.4586,0,S/D,S/D,0.0000 0.0000
4,[],0,0.0000,0.0000,0.0000,-1.4586,0,S/D,S/D,0.0000 0.0000
5,[200.89.166.81],1,124.7010,93.1261,150.4719,-0.7413,0, Argentina ,,-34.0000 -64.0000
6,[200.89.165.86],1,109.2237,80.0960,176.1780,-0.8303,0, Argentina ,,-34.0000 -64.0000
7,[208.50.25.97],1,352.5748,284.8809,426.8351,0.5693,1, United States ,,38.0000 -97.0000
8,[67.16.143.22],1,409.2032,401.2730,415.4861,0.8950,1, United States ,,38.0000 -97.0000
9,[208.49.181.70],1,410.8937,402.8749,416.6300,0.9047,1, United States ,,38.0000 -97.0000
10,[184.105.222.2],1,409.6497,399.5349,417.3028,0.8976,1, United States ,Fremont,37.5155 -121.8962
11,[184.105.148.150],1,331.9262,304.7719,371.5341,0.4506,0, United States ,Fremont,37.5155 -121.8962
12,[207.23.240.85],1,409.5582,395.9270,429.3859,0.8971,1, Canada ,Vancouver,49.2836 -123.1041
13,[137.82.123.138],1,407.6930,401.4862,414.7780,0.8863,1, Canada ,Vancouver,49.2765 -123.2177
14,[137.82.123.65],1,412.5540,395.6780,431.5672,0.9143,1, Canada ,Vancouver,49.2765 -123.2177
15,[],0,0.0000,0.0000,0.0000,-1.4586,0,S/D,S/D,0.0000 0.0000
16,[137.82.130.49],1,450.3732,386.7221,521.7631,1.1318,1, Canada ,Vancouver,49.2765 -123.2177
