hop	ips	cant_ips	time	min_times	max_times	zrtt	distinguido	pais	ciudad	lat	lng			
1	[192.168.0.1]	1	22.93	65.0401	260.9911	-1.51	0		Argentina			-34	-64	
2	[181.28.55.1]	0	26.31	0	0	-1.46	0	S/D	S/D	0	0			
3	[200.89.166.85]	0	31.77	0	0	-1.4	0	S/D	S/D	0	0			
4	[200.89.165.86]	0	62.65	0	0	-1.03	0	S/D	S/D	0	0			
5	[67.17.156.165]	1	80.37	43.745	71.4998	-0.81	0		Argentina			-34	-64	
6	[67.16.143.22]	1	206.89	43.1631	75.8429	0.72	0		Argentina			-34	-64	
7	[208.49.181.70]	1	230.18	46.4299	67.492	1	0		United	States			38	-97
8	[184.105.222.2]	1	225.81	256.794	397.5201	0.94	1		United	States			38	-97
9	[184.105.148.150]	0	203.95	0	0	0.68	0	S/D	S/D	0	0			
10	[207.23.240.85]	1	212.99	416.1239	441.282	0.79	1		United	States		Miami	25,7743	-80,1937
11	[137.82.123.138]	1	203.54	411.355	426.403	0.67	1		Hong	Kong			22,25	114,1667
12	[137.82.123.65]	1	205.9	419.5471	447.7701	0.7	1		Hong	Kong			22,25	114,1667
13	[137.82.130.49]	1	205.87	415.447	435.9279	0.7	1		Hong	Kong			22,25	114,1667
