hop	ips	cant_ips	time	min_times	max_times	zrtt	distinguido	pais	ciudad	lat	lng
1	[10.1.200.254]	1	34.2369	34.2369	34.2369	-1.0239	0	  		0.0000	0.0000
2	[157.92.18.99]	1	30.4110	30.4110	30.4110	-1.0553	0	 Argentina 	Buenos Aires	-34.5875	-58.6725
3	[157.92.47.98]	1	30.3011	30.3011	30.3011	-1.0562	0	 Argentina 	Buenos Aires	-34.5875	-58.6725
4	[157.92.47.2]	1	38.6300	38.6300	38.6300	-0.9879	0	 Argentina 	Buenos Aires	-34.5875	-58.6725
5	[]	0	0.0000	0.0000	0.0000	-1.3047	0	S/D	S/D	0.0000	0.0000
6	[168.96.0.18]	1	39.2489	39.2489	39.2489	-0.9829	0	 Argentina 	Buenos Aires	-34.5875	-58.6725
7	[200.0.204.154]	1	41.8911	41.8911	41.8911	-0.9612	0	 Uruguay 		-33.0000	-56.0000
8	[200.0.204.88]	1	65.7811	65.7811	65.7811	-0.7653	0	 Uruguay 		-33.0000	-56.0000
9	[200.0.204.58]	1	159.7071	159.7071	159.7071	0.0048	0	 Uruguay 		-33.0000	-56.0000
10	[200.0.207.6]	1	239.5899	239.5899	239.5899	0.6597	1	 Uruguay 		-33.0000	-56.0000
11	[205.189.32.180]	1	285.3451	285.3451	285.3451	1.0349	1	 Canada 	Ottawa	45.4230	-75.7020
12	[205.189.32.178]	1	381.1340	381.1340	381.1340	1.8202	1	 Canada 	Ottawa	45.4230	-75.7020
13	[205.189.32.182]	1	252.6500	252.6500	252.6500	0.7668	1	 Canada 	Ottawa	45.4230	-75.7020
14	[205.189.32.174]	1	262.9240	262.9240	262.9240	0.8511	1	 Canada 	Ottawa	45.4230	-75.7020
15	[205.189.32.173]	1	268.3120	268.3120	268.3120	0.8952	1	 Canada 	Ottawa	45.4230	-75.7020
16	[134.87.2.233]	1	248.3270	248.3270	248.3270	0.7314	1	 Canada 	Vancouver	49.2836	-123.1041
17	[137.82.123.138]	1	267.3810	267.3810	267.3810	0.8876	1	 Canada 	Vancouver	49.2765	-123.2177
18	[137.82.123.65]	1	275.8870	275.8870	275.8870	0.9573	1	 Canada 	Vancouver	49.2765	-123.2177
19	[]	0	0.0000	0.0000	0.0000	-1.3047	0	S/D	S/D	0.0000	0.0000
20	[137.82.130.49]	1	260.7260	260.7260	260.7260	0.8330	1	 Canada 	Vancouver	49.2765	-123.2177
