hop	ips	cant_ips	time	min_times	max_times	zrtt	distinguido	pais	ciudad	lat	lng
1	[10.1.200.254]	1	33.4385	15.6591	67.7609	-0.9581	0	(Private Address)	(Private Address)	0.0000	0.0000
2	[157.92.18.99]	1	29.7108	19.3329	47.3390	-0.9831	0	ARGENTINA	(Unknown city)	0.0000	0.0000
3	[157.92.47.98]	1	31.0863	23.2179	39.5410	-0.9739	0	ARGENTINA	Buenos Aires	-34.5833	-58.3667
4	[157.92.47.2]	1	22.9709	18.7659	31.7729	-1.0281	0	ARGENTINA	Buenos Aires	-34.5833	-58.3667
5	[]	0	0.0000	0.0000	0.0000	-1.1818	0	S/D	S/D	0.0000	0.0000
6	[168.96.0.18]	1	25.4047	16.2711	43.0498	-1.0119	0	ARGENTINA	Buenos Aires	-34.5833	-58.3667
7	[200.0.204.154]	1	27.0303	15.7061	35.8770	-1.0010	0	URUGUAY	Montevideo	-34.8833	-56.1833
8	[200.0.204.88]	1	50.5220	43.2019	74.5051	-0.8439	0	URUGUAY	Montevideo	-34.8833	-56.1833
9	[200.0.204.58]	1	172.2515	158.7811	183.6629	-0.0297	0	URUGUAY	Montevideo	-34.8833	-56.1833
10	[200.0.207.10]	1	169.8159	162.3859	177.0961	-0.0460	0	URUGUAY	Montevideo	-34.8833	-56.1833
11	[198.71.45.11]	1	204.6579	192.1101	215.3649	0.1870	0	(Unknown Country?)	(Unknown City?)	0.0000	0.0000
12	[192.31.99.133]	1	201.9926	185.0822	215.2610	0.1692	0	UNITED STATES	Knoxville, TN	35.9745	-83.9463
13	[192.31.99.186]	1	348.9083	332.8469	382.6220	1.1518	1	UNITED STATES	Knoxville, TN	35.9745	-83.9463
14	[194.67.80.121]	1	371.0858	351.6018	409.0459	1.3001	1	RUSSIAN FEDERATION	Moscow	55.7500	37.6000
15	[93.180.1.30]	1	371.0835	362.3979	379.5760	1.3001	1	(Unknown Country?)	(Unknown City?)	0.0000	0.0000
16	[188.44.33.41]	1	374.0640	355.4120	419.5070	1.3201	1	(Unknown Country?)	(Unknown City?)	0.0000	0.0000
17	[188.44.33.22]	1	378.8531	364.6760	395.0901	1.3521	1	(Unknown Country?)	(Unknown City?)	0.0000	0.0000
18	[93.180.0.18]	1	367.6220	356.3750	381.8860	1.2770	1	RUSSIAN FEDERATION	Moscow	55.7500	37.6000
