hop,ips,cant_ips,time,min_times,max_times,zrtt,distinguido,pais,ciudad,lat lng
1,[192.168.1.1],1,83.4932,31.4989,198.7431,-0.4392,0,Reserved,,0.0000 0.0000
2,[186.137.165.1],1,55.3662,37.7910,99.7899,-0.7278,0,Argentina,Buenos Aires,-34.5875 -58.6725
3,[],0,0.0000,0.0000,0.0000,-1.2958,0,S/D,S/D,0.0000 0.0000
4,[],0,0.0000,0.0000,0.0000,-1.2958,0,S/D,S/D,0.0000 0.0000
5,[],0,0.0000,0.0000,0.0000,-1.2958,0,S/D,S/D,0.0000 0.0000
6,[200.89.166.101],1,76.4082,44.1470,159.7240,-0.5119,0,Argentina,,-34.0000 -64.0000
7,[200.89.165.86],1,57.4760,41.8019,85.3372,-0.7061,0,Argentina,,-34.0000 -64.0000
8,[67.17.156.165],1,67.7830,51.3721,88.3119,-0.6004,0,United States,,38.0000 -97.0000
9,[67.16.143.22],1,235.6613,207.8800,281.6632,1.1219,1,United States,,38.0000 -97.0000
10,[208.49.181.70],1,243.7367,231.1809,254.9059,1.2048,1,United States,,38.0000 -97.0000
11,[184.105.222.2],1,237.2895,230.4308,250.3130,1.1386,1,United States,Fremont,37.5155 -121.8962
12,[184.105.148.150],1,221.0778,213.2602,239.8760,0.9723,1,United States,Fremont,37.5155 -121.8962
13,[207.23.240.85],1,213.9480,208.5431,216.2371,0.8992,1,Canada,Vancouver,49.2836 -123.1041
14,[137.82.123.138],1,223.8208,208.0021,264.8921,1.0004,1,Canada,Vancouver,49.2765 -123.2177
15,[137.82.123.65],1,218.4813,215.7180,223.3341,0.9457,1,Canada,Vancouver,49.2765 -123.2177
16,[],0,0.0000,0.0000,0.0000,-1.2958,0,S/D,S/D,0.0000 0.0000
17,[137.82.130.49],1,212.6365,210.4850,216.4550,0.8857,1,Canada,Vancouver,49.2765 -123.2177
