hop,ips,cant_ips,time,min_times,max_times,zrtt,distinguido,pais,ciudad,lat lng
1,[192.168.1.1],1,71.9778,28.0552,186.1029,-0.6453,0,Reserved,,0.0000 0.0000
2,[186.137.165.1],1,46.3870,41.2481,56.9589,-0.8044,0,Argentina,Buenos Aires,-34.5875 -58.6725
3,[],0,0.0000,0.0000,0.0000,-1.0928,0,S/D,S/D,0.0000 0.0000
4,[],0,0.0000,0.0000,0.0000,-1.0928,0,S/D,S/D,0.0000 0.0000
5,[],0,0.0000,0.0000,0.0000,-1.0928,0,S/D,S/D,0.0000 0.0000
6,[200.89.164.73],1,46.7522,33.5450,62.8469,-0.8022,0,Argentina,,-34.0000 -64.0000
7,[200.89.165.86],1,51.8348,38.9500,63.2451,-0.7706,0,Argentina,,-34.0000 -64.0000
8,[208.178.245.21],1,45.7706,35.4052,55.3651,-0.8083,0,United States,,38.0000 -97.0000
9,[64.211.206.226],1,183.6062,178.9010,192.4989,0.0486,0,United States,,38.0000 -97.0000
10,[63.218.56.110],1,359.7504,346.8490,372.4630,1.1436,1,United States,Miami,25.7743 -80.1937
11,[203.188.118.121],1,350.5670,341.8810,367.8839,1.0866,1,Hong Kong,,22.2500 114.1667
12,[203.188.117.34],1,421.3342,371.2218,460.4540,1.5265,1,Hong Kong,,22.2500 114.1667
13,[137.189.192.250],1,360.1831,341.4891,377.9821,1.1463,1,Hong Kong,,22.2500 114.1667
14,[137.189.9.57],1,351.7798,339.4620,360.0800,1.0941,1,Hong Kong,,22.2500 114.1667
15,[137.189.11.73],1,346.8600,340.0040,351.5160,1.0635,1,Hong Kong,,22.2500 114.1667
