hop,ips,cant_ips,time,min_times,max_times,zrtt,distinguido,pais,ciudad,lat lng
1,[192.168.1.1],1,96.4212,29.6628,289.6180,-0.5364,0,Reserved,,0.0000 0.0000
2,[186.137.165.1],1,43.5907,42.7568,44.7080,-0.9282,0,Argentina,Buenos Aires,-34.5875 -58.6725
3,[],0,0.0000,0.0000,0.0000,-1.2514,0,S/D,S/D,0.0000 0.0000
4,[],0,0.0000,0.0000,0.0000,-1.2514,0,S/D,S/D,0.0000 0.0000
5,[],0,0.0000,0.0000,0.0000,-1.2514,0,S/D,S/D,0.0000 0.0000
6,[200.89.164.65],1,49.8077,45.2158,54.7481,-0.8821,0,Argentina,,-34.0000 -64.0000
7,[200.89.165.86],1,47.7213,46.5071,50.9300,-0.8975,0,Argentina,,-34.0000 -64.0000
8,[64.214.130.253],1,49.4899,39.1881,62.4931,-0.8844,0,United States,,38.0000 -97.0000
9,[67.17.74.42],1,296.0757,279.1269,323.2949,0.9443,1,United States,,38.0000 -97.0000
10,[146.82.54.2],1,291.9078,283.9091,306.8421,0.9134,1,United States,Cypress,29.9878 -95.6550
11,[194.85.40.229],1,314.8404,299.6609,344.0888,1.0835,1,Russian Federation,,60.0000 100.0000
12,[194.190.254.118],1,303.3237,301.0080,306.7310,0.9980,1,Russian Federation,,60.0000 100.0000
13,[93.180.0.172],1,306.5642,298.6279,321.1000,1.0221,1,Russian Federation,Moscow,55.7522 37.6156
14,[188.44.33.41],1,297.0483,292.5181,301.5909,0.9515,1,Russian Federation,Moscow,55.7522 37.6156
15,[188.44.33.22],1,300.3927,293.4999,311.5492,0.9763,1,Russian Federation,Moscow,55.7522 37.6156
16,[93.180.0.18],1,302.7545,294.2109,311.7170,0.9938,1,Russian Federation,Moscow,55.7522 37.6156
