hop,ips,cant_ips,time,min_times,max_times,zrtt,distinguido,pais,ciudad,lat lng
1,[192.168.1.1],1,374.7300,31.7340,1395.5460,2.3049,1,Reserved,,0.0000 0.0000
2,[186.137.165.1],1,105.2520,45.1071,178.4179,-0.2821,0,Argentina,Buenos Aires,-34.5875 -58.6725
3,[],0,0.0000,0.0000,0.0000,-1.2926,0,S/D,S/D,0.0000 0.0000
4,[],0,0.0000,0.0000,0.0000,-1.2926,0,S/D,S/D,0.0000 0.0000
5,[],0,0.0000,0.0000,0.0000,-1.2926,0,S/D,S/D,0.0000 0.0000
6,[200.89.166.65],1,55.9087,44.0700,66.1809,-0.7559,0,Argentina,,-34.0000 -64.0000
7,[200.89.165.1],1,55.9005,46.7429,62.8450,-0.7559,0,Argentina,,-34.0000 -64.0000
8,[200.89.165.250],1,62.5324,58.1930,71.2481,-0.6923,0,Argentina,,-34.0000 -64.0000
9,[64.209.94.97],1,78.6804,49.3722,97.5912,-0.5372,0,United States,,38.0000 -97.0000
10,[67.16.139.26],1,196.7022,163.7731,279.3670,0.5958,1,United States,,38.0000 -97.0000
11,[4.68.111.121],1,178.0725,164.2101,190.5410,0.4169,0,United States,,38.0000 -97.0000
12,[4.69.138.123],1,201.1930,195.2441,212.2061,0.6389,1,United States,,38.0000 -97.0000
13,[],0,0.0000,0.0000,0.0000,-1.2926,0,S/D,S/D,0.0000 0.0000
14,[4.69.134.21],1,211.6860,191.6299,244.4870,0.7396,1,United States,,38.0000 -97.0000
15,[4.69.151.145],1,204.0637,197.7510,210.5730,0.6665,1,United States,,38.0000 -97.0000
16,[],0,0.0000,0.0000,0.0000,-1.2926,0,S/D,S/D,0.0000 0.0000
17,[4.34.191.254],1,220.1030,202.8251,234.8101,0.8204,1,United States,,38.0000 -97.0000
18,[184.168.0.73],1,225.5837,203.7389,255.4619,0.8731,1,United States,Scottsdale,33.6119 -111.8906
19,[184.168.0.73],1,226.6525,211.4341,255.3740,0.8833,1,United States,Scottsdale,33.6119 -111.8906
20,[97.74.255.129],1,211.0933,205.5511,215.2159,0.7339,1,United States,Scottsdale,33.6119 -111.8906
21,[23.229.137.67],1,219.3232,200.8159,232.9040,0.8130,1,United States,Scottsdale,33.6119 -111.8906
