hop,ips,cant_ips,time,min_times,max_times,zrtt,distinguido,pais,ciudad,lat lng
1,[10.16.128.1],1,95.5640,75.0730,152.4408,-1.4595,0,(Private Address),(Private Address),0.0000 0.0000
2,[181.47.254.105],1,91.2795,75.4051,111.0981,-1.4993,0,(Unknown Country?),(Unknown City?),0.0000 0.0000
3,[208.178.195.210],1,91.2064,67.3418,107.0521,-1.5000,0,UNITED STATES,(Unknown city),0.0000 0.0000
4,[208.178.195.209],1,89.3267,77.0431,101.4640,-1.5175,0,UNITED STATES,(Unknown city),0.0000 0.0000
5,[67.16.133.22],1,313.3519,306.8309,320.3259,0.5665,1,UNITED STATES,(Unknown city),0.0000 0.0000
6,[67.17.74.42;67.17.74.46],2,324.9062,312.0251,342.6418,0.6740,1,UNITED STATES,Warsaw,52.2333 21.0000
7,[146.82.54.2],1,301.6198,297.4801,304.0299,0.4574,0,UNITED STATES,(Unknown city),0.0000 0.0000
8,[194.85.40.133],1,343.4532,334.3358,354.3570,0.8466,1,RUSSIAN FEDERATION,(Unknown city),0.0000 0.0000
9,[194.190.254.118],1,325.6663,311.3081,336.2930,0.6811,1,RUSSIAN FEDERATION,(Unknown city),0.0000 0.0000
10,[93.180.0.174],1,332.7895,319.8199,347.3821,0.7474,1,RUSSIAN FEDERATION,Moscow,55.7500 37.6000
11,[188.44.33.41],1,331.3373,319.0570,339.5891,0.7339,1,(Unknown Country?),(Unknown City?),0.0000 0.0000
12,[188.44.33.22],1,323.3420,311.5180,329.9620,0.6595,1,(Unknown Country?),(Unknown City?),0.0000 0.0000
13,[93.180.0.18],1,318.0125,308.7890,327.5621,0.6099,1,RUSSIAN FEDERATION,Moscow,55.7500 37.6000
