hop,ips,cant_ips,time,min_times,max_times,zrtt,distinguido,pais,ciudad,lat lng
1,[10.16.128.1],1,77.6073,67.8730,97.6300,-1.0289,0,(Private Address),(Private Address),0.0000 0.0000
2,[181.47.254.105],1,105.1913,74.6500,135.8070,-0.7349,0,(Unknown Country?),(Unknown City?),0.0000 0.0000
3,[208.178.195.210],1,89.2450,67.3931,123.1081,-0.9049,0,UNITED STATES,(Unknown city),0.0000 0.0000
4,[208.178.195.209],1,85.5868,55.5530,95.6972,-0.9439,0,UNITED STATES,(Unknown city),0.0000 0.0000
5,[67.16.147.134],1,221.8769,202.7779,257.2858,0.5089,1,UNITED STATES,(Unknown city),0.0000 0.0000
6,[4.68.111.121],1,203.4982,181.4930,227.6142,0.3130,0,UNITED STATES,New York NY,40.6698 -73.9438
7,[4.69.138.123],1,236.7666,228.5762,247.2341,0.6676,1,UNITED STATES,(Unknown city),0.0000 0.0000
8,[],0,0.0000,0.0000,0.0000,-1.8562,0,S/D,S/D,0.0000 0.0000
9,[4.69.134.21],1,244.5918,231.9441,259.6791,0.7510,1,UNITED STATES,Washington DC,38.9050 -77.0162
10,[4.69.151.169],1,240.6772,234.7281,251.6139,0.7093,1,UNITED STATES,(Unknown city),0.0000 0.0000
11,[],0,0.0000,0.0000,0.0000,-1.8562,0,S/D,S/D,0.0000 0.0000
12,[4.34.191.254],1,272.5105,254.6380,288.6069,1.0486,1,UNITED STATES,(Unknown city),0.0000 0.0000
13,[184.168.0.73],1,261.8010,255.6291,268.2230,0.9345,1,(Unknown Country?),(Unknown City?),0.0000 0.0000
14,[184.168.0.73],1,266.2787,261.9340,275.5749,0.9822,1,(Unknown Country?),(Unknown City?),0.0000 0.0000
15,[97.74.255.129],1,239.7889,226.4190,250.7889,0.6998,1,UNITED STATES,Scottsdale AZ,33.6860 -111.8700
16,[23.229.137.67],1,240.7335,222.3041,255.6739,0.7099,1,(Unknown Country?),(Unknown City?),0.0000 0.0000
