hop,ips,cant_ips,time,min_times,max_times,zrtt,distinguido,pais,ciudad,lat lng
1,[186.138.57.1],1,239.1165,97.6079,449.3990,-0.4104,0, Argentina ,,-34.0000 -64.0000
2,[],0,0.0000,0.0000,0.0000,-1.6329,0,S/D,S/D,0.0000 0.0000
3,[],0,0.0000,0.0000,0.0000,-1.6329,0,S/D,S/D,0.0000 0.0000
4,[],0,0.0000,0.0000,0.0000,-1.6329,0,S/D,S/D,0.0000 0.0000
5,[200.89.164.105],1,206.9823,181.9890,229.8992,-0.5747,0, Argentina ,,-34.0000 -64.0000
6,[200.89.165.86],1,123.5628,96.5960,165.0140,-1.0012,0, Argentina ,,-34.0000 -64.0000
7,[208.50.25.65],1,436.8037,409.3339,507.7538,0.6002,1, United States ,,38.0000 -97.0000
8,[67.17.74.42],1,457.6155,397.7931,495.6930,0.7066,1, United States ,,38.0000 -97.0000
9,[146.82.54.2],1,409.8495,393.4770,428.1931,0.4624,0, United States ,Cypress,29.9878 -95.6550
10,[194.85.40.133],1,500.5045,411.7031,612.9570,0.9259,1, Russian Federation ,,60.0000 100.0000
11,[194.190.254.118],1,498.6497,454.9360,524.0541,0.9164,1, Russian Federation ,,60.0000 100.0000
12,[93.180.0.174],1,513.4189,458.1249,622.7980,0.9919,1, Russian Federation ,Moscow,55.7522 37.6156
13,[188.44.33.1],1,484.9469,407.5480,521.8019,0.8464,1, Russian Federation ,Moscow,55.7522 37.6156
14,[188.44.33.34],1,458.7060,400.8870,515.1050,0.7122,1, Russian Federation ,Moscow,55.7522 37.6156
15,[93.180.0.18],1,460.7381,403.6970,515.9380,0.7226,1, Russian Federation ,Moscow,55.7522 37.6156
