hop,ips,cant_ips,time,min_times,max_times,zrtt,distinguido,pais,ciudad,lat lng
1,[10.16.128.1],1,139.4733,71.3310,305.6829,-0.6882,0,(Private Address),(Private Address),0.0000 0.0000
2,[181.47.254.105],1,79.7033,63.5731,99.3021,-1.3694,0,(Unknown Country?),(Unknown City?),0.0000 0.0000
3,[195.22.220.33],1,70.6440,56.1061,87.3449,-1.4727,0,ARGENTINA,(Unknown city),0.0000 0.0000
4,[195.22.220.32],1,66.5748,45.2280,83.3821,-1.5190,0,ARGENTINA,(Unknown city),0.0000 0.0000
5,[89.221.40.7],1,216.5940,193.5461,228.2882,0.1907,0,UNITED STATES,Ashburn, VA,39.0500 -77.4833
6,[216.66.30.213],1,225.2301,216.0561,237.7071,0.2891,0,UNITED STATES,(Unknown city),0.0000 0.0000
7,[184.105.213.198],1,246.0088,240.8402,251.2870,0.5259,1,UNITED STATES,San Jose, CA,37.3040 -121.8500
8,[184.105.223.178],1,250.5398,233.5091,277.8401,0.5776,1,(Unknown Country?),(Unknown City?),0.0000 0.0000
9,[184.105.80.14],1,262.5681,251.4710,274.5571,0.7147,1,(Unknown Country?),(Unknown City?),0.0000 0.0000
10,[184.105.223.214],1,279.5618,255.0750,320.0622,0.9083,1,(Unknown Country?),(Unknown City?),0.0000 0.0000
11,[184.105.223.218],1,279.4873,263.6011,287.9720,0.9075,1,(Unknown Country?),(Unknown City?),0.0000 0.0000
12,[184.105.148.150],1,253.2050,245.5380,264.0400,0.6080,1,(Unknown Country?),(Unknown City?),0.0000 0.0000
13,[207.23.240.85],1,246.1385,241.6070,255.4951,0.5274,1,CANADA,VANCOUVER, BC,49.2667 -123.1170
14,[137.82.123.138],1,267.5743,259.5451,275.2850,0.7717,1,CANADA,VANCOUVER, BC,49.2667 -123.1170
15,[137.82.123.65],1,255.7434,242.2271,265.5709,0.6369,1,CANADA,VANCOUVER, BC,49.2667 -123.1170
16,[],0,0.0000,0.0000,0.0000,-2.2778,0,S/D,S/D,0.0000 0.0000
17,[137.82.130.49],1,258.5813,248.0421,267.4751,0.6692,1,CANADA,VANCOUVER, BC,49.2667 -123.1170
