hop,ips,cant_ips,time,min_times,max_times,zrtt,distinguido,pais,ciudad,lat lng
1,[10.16.128.1],1,168.5087,59.4311,452.0559,-0.7234,0,(Private Address),(Private Address),0.0000 0.0000
2,[181.47.254.105],1,84.2997,53.5541,103.1809,-1.3935,0,(Unknown Country?),(Unknown City?),0.0000 0.0000
3,[208.178.195.210],1,77.7059,72.6888,82.4311,-1.4460,0,UNITED STATES,(Unknown city),0.0000 0.0000
4,[208.178.195.209],1,61.0970,41.4789,75.5241,-1.5782,0,UNITED STATES,(Unknown city),0.0000 0.0000
5,[67.17.95.214],1,287.1826,209.7690,385.8120,0.2211,0,UNITED STATES,(Unknown city),0.0000 0.0000
6,[64.211.206.226],1,208.7202,195.0369,225.8489,-0.4033,0,UNITED STATES,Tukwila, WA,47.4777 -122.2680
7,[63.218.56.110],1,363.6158,355.6080,375.5701,0.8294,1,UNITED STATES,Miami, FL,25.7757 -80.2108
8,[203.188.118.121],1,382.3383,377.8651,385.6750,0.9783,1,HONG KONG,(Unknown city),0.0000 0.0000
9,[203.188.117.34],1,366.8166,358.4311,377.0971,0.8548,1,HONG KONG,(Unknown city),0.0000 0.0000
10,[137.189.192.250],1,369.0020,359.5970,383.2662,0.8722,1,HONG KONG,Hong Kong,22.2500 114.1670
11,[137.189.9.57],1,365.0473,355.3472,381.3939,0.8407,1,HONG KONG,(Unknown city),0.0000 0.0000
12,[137.189.11.73],1,378.5052,367.1012,383.6510,0.9478,1,HONG KONG,(Unknown city),0.0000 0.0000
