hop	ips	cant_ips	time	min_times	max_times	zrtt	distinguido	pais	ciudad	lat	lng
1	[10.1.200.254]	1	72.1497	18.7380	286.9170	-0.7438	0	(Private Address)	(Private Address)	0.0000	0.0000
2	[157.92.18.99]	1	18.8517	12.0659	28.7712	-1.1906	0	ARGENTINA	(Unknown city)	0.0000	0.0000
3	[157.92.47.98]	1	23.7185	15.8460	30.5290	-1.1498	0	ARGENTINA	Buenos Aires	-34.5833	-58.3667
4	[157.92.47.2]	1	30.6708	22.9709	38.5571	-1.0915	0	ARGENTINA	Buenos Aires	-34.5833	-58.3667
5	[]	0	0.0000	0.0000	0.0000	-1.3486	0	S/D	S/D	0.0000	0.0000
6	[168.96.0.18]	1	47.2771	20.4968	127.0759	-0.9523	0	ARGENTINA	Buenos Aires	-34.5833	-58.3667
7	[200.0.204.154]	1	31.0879	13.3309	43.2358	-1.0880	0	URUGUAY	Montevideo	-34.8833	-56.1833
8	[200.0.204.88]	1	57.4157	45.2590	69.3772	-0.8673	0	URUGUAY	Montevideo	-34.8833	-56.1833
9	[200.0.204.58]	1	216.8322	159.8670	267.9529	0.4692	0	URUGUAY	Montevideo	-34.8833	-56.1833
10	[200.0.207.6]	1	257.7625	198.5130	427.7940	0.8123	1	URUGUAY	Montevideo	-34.8833	-56.1833
11	[205.189.32.180]	1	239.0933	222.4450	258.1999	0.6558	1	CANADA	(Unknown city)	0.0000	0.0000
12	[205.189.32.178]	1	274.9729	234.9222	323.8530	0.9566	1	CANADA	(Unknown city)	0.0000	0.0000
13	[205.189.32.182]	1	272.4176	247.9351	311.4688	0.9351	1	CANADA	(Unknown city)	0.0000	0.0000
14	[205.189.32.174]	1	277.7638	255.9040	299.7499	0.9800	1	CANADA	(Unknown city)	0.0000	0.0000
15	[205.189.32.173]	1	267.8196	255.7850	281.0850	0.8966	1	CANADA	(Unknown city)	0.0000	0.0000
16	[134.87.2.233]	1	290.4340	255.9311	383.6801	1.0862	1	CANADA	(Unknown city)	0.0000	0.0000
17	[137.82.123.138]	1	274.3998	259.3479	288.0001	0.9518	1	CANADA	VANCOUVER, BC	49.2667	-123.1170
18	[137.82.123.65]	1	273.0075	262.1920	291.5800	0.9401	1	CANADA	VANCOUVER, BC	49.2667	-123.1170
19	[]	0	0.0000	0.0000	0.0000	-1.3486	0	S/D	S/D	0.0000	0.0000
20	[137.82.130.49]	1	291.6913	259.7158	347.5490	1.0967	1	CANADA	VANCOUVER, BC	49.2667	-123.1170
