hop	ips	cant_ips	time	min_times	max_times	zrtt	distinguido	pais	ciudad	lat	lng
1	[190.16.130.1]	1	385.1758	333.7202	487.3061	-0.3037	0	S/D	S/D	0.0000	0.0000
2	[?]	1	0.0000	0.0000	0.0000	-1.6636	0	S/D	S/D	0.0000	0.0000
3	[?]	1	0.0000	0.0000	0.0000	-1.6636	0	S/D	S/D	0.0000	0.0000
4	[?]	1	0.0000	0.0000	0.0000	-1.6636	0	S/D	S/D	0.0000	0.0000
5	[200.89.165.57]	1	406.0565	332.5381	467.9821	-0.2300	0	S/D	S/D	0.0000	0.0000
6	[200.89.165.6]	1	364.1115	265.7249	455.0970	-0.3781	0	S/D	S/D	0.0000	0.0000
7	[200.89.165.150]	1	387.2401	311.9462	472.5370	-0.2964	0	S/D	S/D	0.0000	0.0000
8	[208.50.25.97]	1	425.6737	339.4790	511.9460	-0.1607	0	S/D	S/D	0.0000	0.0000
9	[64.211.83.226]	1	571.1082	504.8170	651.7520	0.3527	0	S/D	S/D	0.0000	0.0000
10	[63.218.56.110]	1	713.5298	635.5438	787.8671	0.8556	1	S/D	S/D	0.0000	0.0000
11	[203.188.118.121]	1	822.7918	759.4090	919.8401	1.2413	1	S/D	S/D	0.0000	0.0000
12	[203.188.117.34]	1	696.5595	607.4870	803.1390	0.7956	1	S/D	S/D	0.0000	0.0000
13	[137.189.192.250]	1	736.5257	691.2129	791.6088	0.9368	1	S/D	S/D	0.0000	0.0000
14	[137.189.9.57]	1	804.9482	711.7808	888.3750	1.1783	1	S/D	S/D	0.0000	0.0000
15	[137.189.11.73]	1	754.2945	732.9519	780.7229	0.9995	1	S/D	S/D	0.0000	0.0000
