hop	ips	cant_ips	time	min_times	max_times	zrtt	distinguido	pais	ciudad	lat	lng
1	[190.16.130.1]	1	272.4802	245.4429	299.6418	-0.5295	0	S/D	S/D	0.0000	0.0000
2	[?]	1	0.0000	0.0000	0.0000	-1.0277	0	S/D	S/D	0.0000	0.0000
3	[?]	1	0.0000	0.0000	0.0000	-1.0277	0	S/D	S/D	0.0000	0.0000
4	[?]	1	0.0000	0.0000	0.0000	-1.0277	0	S/D	S/D	0.0000	0.0000
5	[200.89.165.229]	1	442.2669	253.4649	593.8289	-0.2191	0	S/D	S/D	0.0000	0.0000
6	[?,200.89.165.198]	2	317.9024	0.0000	500.9830	-0.4465	0	S/D	S/D	0.0000	0.0000
7	[200.89.165.86]	1	431.0105	337.2760	523.8180	-0.2397	0	S/D	S/D	0.0000	0.0000
8	[67.17.156.165]	1	442.4062	371.2978	522.4710	-0.2189	0	S/D	S/D	0.0000	0.0000
9	[67.17.74.42]	1	1956.8990	524.6670	5869.4201	2.5499	1	S/D	S/D	0.0000	0.0000
10	[146.82.54.2]	1	713.6523	623.9429	795.7730	0.2770	0	S/D	S/D	0.0000	0.0000
11	[194.85.40.229]	1	1844.7664	493.2768	5720.1910	2.3449	1	S/D	S/D	0.0000	0.0000
12	[194.190.254.118]	1	577.2868	559.8991	611.8262	0.0277	0	S/D	S/D	0.0000	0.0000
13	[93.180.0.172]	1	592.6628	513.4568	675.5729	0.0558	0	S/D	S/D	0.0000	0.0000
14	[188.44.33.1,?]	2	408.3323	491.5252	579.7219	-0.2812	0	S/D	S/D	0.0000	0.0000
15	[188.44.33.34]	1	536.7257	497.3910	579.4079	-0.0464	0	S/D	S/D	0.0000	0.0000
16	[93.180.0.18]	1	457.7435	439.7190	467.8190	-0.1908	0	S/D	S/D	0.0000	0.0000
