hop,ips,cant_ips,time,min_times,max_times,zrtt,distinguido,pais,ciudad,lat lng
1,[192.168.1.1],1,76.1505,31.5289,197.4311,-0.4696,0,Reserved,,0.0000 0.0000
2,[186.137.165.1],1,45.9420,38.5120,59.9470,-0.7670,0,Argentina,Buenos Aires,-34.5875 -58.6725
3,[],0,0.0000,0.0000,0.0000,-1.2194,0,S/D,S/D,0.0000 0.0000
4,[],0,0.0000,0.0000,0.0000,-1.2194,0,S/D,S/D,0.0000 0.0000
5,[],0,0.0000,0.0000,0.0000,-1.2194,0,S/D,S/D,0.0000 0.0000
6,[200.89.166.101],1,58.7819,44.3840,86.2839,-0.6406,0,Argentina,,-34.0000 -64.0000
7,[200.89.165.86],1,47.8234,38.9159,66.1199,-0.7485,0,Argentina,,-34.0000 -64.0000
8,[67.17.156.165],1,44.2275,40.0679,49.5842,-0.7839,0,United States,,38.0000 -97.0000
9,[67.16.143.22],1,218.4305,206.3558,243.7241,0.9312,1,United States,,38.0000 -97.0000
10,[208.49.181.70],1,243.1703,232.6701,250.7319,1.1748,1,United States,,38.0000 -97.0000
11,[184.105.222.2],1,246.0200,239.0730,258.6739,1.2028,1,United States,Fremont,37.5155 -121.8962
12,[184.105.148.150],1,218.7768,212.8692,229.5020,0.9346,1,United States,Fremont,37.5155 -121.8962
13,[207.23.240.85],1,231.0655,220.6709,240.1021,1.0556,1,Canada,Vancouver,49.2836 -123.1041
14,[137.82.123.138],1,223.3945,216.1040,227.8819,0.9801,1,Canada,Vancouver,49.2765 -123.2177
15,[137.82.123.65],1,226.6068,204.6921,265.9841,1.0117,1,Canada,Vancouver,49.2765 -123.2177
16,[],0,0.0000,0.0000,0.0000,-1.2194,0,S/D,S/D,0.0000 0.0000
17,[137.82.130.49],1,225.0670,211.3290,237.7830,0.9965,1,Canada,Vancouver,49.2765 -123.2177
