hop,ips,cant_ips,time,min_times,max_times,,distinguido,pais,ciudad,lat lng
1,[192.168.1.1],1,79.5977,270171,2077289,1.15586619140223,0,Reserved,,0.0000 0.0000
2,[186.137.165.1],1,54.4124,387709,675550,-0.725754618584325,0,Argentina,Buenos Aires,-34.5875 -58.6725
6,[200.89.166.101],1,52.8296,412381,586281,-0.301917210152542,0,Argentina,,-34.0000 -64.0000
7,[200.89.165.197],1,58.7951,463352,668311,-0.16637004734921,0,Argentina,,-34.0000 -64.0000
8,[200.89.165.222],1,75.4393,621500,844960,0.0253906785662858,0,Argentina,,-34.0000 -64.0000
9,[64.209.94.97],1,51.0948,360432,788851,-0.710656112366363,0,United States,,38.0000 -97.0000
10,[67.16.166.65],1,234.9831,2192981,2689121,3.02864482196237,1,United States,,38.0000 -97.0000
11,[67.17.75.58],1,222.5062,2122600,2368848,-0.497545940634342,1,United States,,38.0000 -97.0000
12,[208.49.181.70],1,249.4538,2398310,2552540,0.210412026052189,1,United States,,38.0000 -97.0000
13,[184.105.222.2],1,272.0751,2464120,3007102,0.13272331595375,1,United States,Fremont,37.5155 -121.8962
14,[184.105.148.150],1,223.3965,2089112,2464449,-1.14763108876801,1,United States,Fremont,37.5155 -121.8962
15,[207.23.240.85],1,248.8785,2106860,3475900,0.184093792568549,1,Canada,Vancouver,49.2836 -123.1041
16,[137.82.123.138],1,236.6905,2099550,2569611,-0.492358073785663,1,Canada,Vancouver,49.2765 -123.2177
17,[137.82.123.65],1,215.1477,2081399,2232039,-0.660345117039456,1,Canada,Vancouver,49.2765 -123.2177
19,[137.82.130.49],1,228.4538,2096641,2358348,-0.034552617825458,1,Canada,Vancouver,49.2765 -123.2177
