hop,ips,cant_ips,time,min_times,max_times,zrtt,distinguido,pais,ciudad,lat lng
1,[192.168.1.1],1,71.7995,32.3410,178.1859,-0.6610,0,Reserved,,0.0000 0.0000
2,[186.137.165.1],1,51.7958,37.8251,63.5531,-0.7920,0,Argentina,Buenos Aires,-34.5875 -58.6725
3,[],0,0.0000,0.0000,0.0000,-1.1312,0,S/D,S/D,0.0000 0.0000
4,[],0,0.0000,0.0000,0.0000,-1.1312,0,S/D,S/D,0.0000 0.0000
5,[],0,0.0000,0.0000,0.0000,-1.1312,0,S/D,S/D,0.0000 0.0000
6,[200.89.164.73],1,48.6892,39.1848,62.4781,-0.8123,0,Argentina,,-34.0000 -64.0000
7,[200.89.165.86],1,43.5534,39.5379,51.4698,-0.8460,0,Argentina,,-34.0000 -64.0000
8,[208.178.245.21],1,67.3968,40.3020,88.8460,-0.6898,0,United States,,38.0000 -97.0000
9,[64.211.206.226],1,200.1085,182.2641,250.3798,0.1792,0,United States,,38.0000 -97.0000
10,[63.218.56.110],1,351.9903,344.8482,360.8260,1.1738,1,United States,Miami,25.7743 -80.1937
11,[203.188.118.121],1,344.3882,339.6990,354.7399,1.1241,1,Hong Kong,,22.2500 114.1667
12,[203.188.117.34],1,362.5273,358.9420,364.6832,1.2428,1,Hong Kong,,22.2500 114.1667
13,[137.189.192.250],1,351.9148,339.7970,365.6750,1.1733,1,Hong Kong,,22.2500 114.1667
14,[137.189.9.57],1,353.7142,339.6049,371.5050,1.1851,1,Hong Kong,,22.2500 114.1667
15,[137.189.11.73],1,343.1983,341.1851,344.1341,1.1163,1,Hong Kong,,22.2500 114.1667
