hop,ips,cant_ips,time,min_times,max_times,,distinguido,pais,ciudad,lat lng
1,[192.168.1.1],1,77.8853,333111,1986260,0.939820511481732,0,Reserved,,0.0000 0.0000
2,[186.137.165.1],1,56.9803,398228,764401,-0.832933169068079,0,Argentina,Buenos Aires,-34.5875 -58.6725
6,[200.89.164.73],1,54.8918,491540,586660,-0.495278362573256,0,Argentina,,-34.0000 -64.0000
7,[200.89.165.1],1,64.2532,556810,805709,-0.289814340630542,0,Argentina,,-34.0000 -64.0000
8,[200.89.165.250],1,75.2270,464599,1037939,-0.260880446973791,0,Argentina,,-34.0000 -64.0000
9,[64.209.94.97],1,55.6557,405660,809901,-0.809000438994891,0,United States,,38.0000 -97.0000
10,[67.17.95.214],1,199.8812,1810780,2417660,2.1302697126524,0,United States,,38.0000 -97.0000
11,[64.211.206.226],1,202.8670,1905811,2194421,-0.404222013911354,0,United States,,38.0000 -97.0000
12,[63.218.56.110],1,348.1064,3433309,3527999,2.14846375555651,1,United States,Miami,25.7743 -80.1937
13,[203.188.118.121],1,358.2985,3446810,3881910,-0.274907750788901,1,Hong Kong,,22.2500 114.1667
14,[203.188.117.34],1,369.7780,3658409,3791871,-0.251805856287721,1,Hong Kong,,22.2500 114.1667
15,[137.189.192.250],1,357.7657,3413360,3848860,-0.673357110942684,1,Hong Kong,,22.2500 114.1667
16,[137.189.9.57],1,350.3810,3439031,3612440,-0.590316620812455,1,Hong Kong,,22.2500 114.1667
17,[137.189.11.73],1,357.1665,3454380,3689120,-0.336037868706965,1,Hong Kong,,22.2500 114.1667
