hop,ips,cant_ips,time,min_times,max_times,zrtt,distinguido,pais,ciudad,lat lng
1,[192.168.1.1],1,101.2188,43.6790,265.5981,-0.5687,0,Reserved,,0.0000 0.0000
2,[186.137.165.1],1,126.6722,94.1360,167.7558,-0.3749,0,Argentina,Buenos Aires,-34.5875 -58.6725
3,[],0,0.0000,0.0000,0.0000,-1.3393,0,S/D,S/D,0.0000 0.0000
4,[],0,0.0000,0.0000,0.0000,-1.3393,0,S/D,S/D,0.0000 0.0000
5,[],0,0.0000,0.0000,0.0000,-1.3393,0,S/D,S/D,0.0000 0.0000
6,[200.89.164.65],1,53.8338,37.8420,65.4609,-0.9295,0,Argentina,,-34.0000 -64.0000
7,[200.89.165.86],1,54.1498,48.2001,60.3819,-0.9271,0,Argentina,,-34.0000 -64.0000
8,[64.214.130.253],1,53.4287,38.7239,66.9529,-0.9325,0,United States,,38.0000 -97.0000
9,[67.17.74.42],1,284.1847,276.4101,296.1998,0.8244,1,United States,,38.0000 -97.0000
10,[146.82.54.2],1,287.5934,284.7819,289.0139,0.8504,1,United States,Cypress,29.9878 -95.6550
11,[194.85.40.229],1,302.4760,296.6561,315.9492,0.9637,1,Russian Federation,,60.0000 100.0000
12,[194.190.254.118],1,313.7783,298.6679,330.7481,1.0497,1,Russian Federation,,60.0000 100.0000
13,[93.180.0.172],1,313.1440,299.9351,326.3690,1.0449,1,Russian Federation,Moscow,55.7522 37.6156
14,[188.44.33.41],1,311.0967,305.8770,317.2250,1.0293,1,Russian Federation,Moscow,55.7522 37.6156
15,[188.44.33.22],1,304.8002,299.6631,311.5139,0.9814,1,Russian Federation,Moscow,55.7522 37.6156
16,[93.180.0.18],1,308.1407,297.2229,328.4769,1.0068,1,Russian Federation,Moscow,55.7522 37.6156
