hop,ips,cant_ips,time,min_times,max_times,zrtt,distinguido,pais,ciudad,lat lng
1,[192.168.1.1],1,284.2437,31.2610,1024.3020,1.6882,1,Reserved,,0.0000 0.0000
2,[186.137.165.1],1,44.7432,35.3639,66.0691,-0.7975,0,Argentina,Buenos Aires,-34.5875 -58.6725
3,[],0,0.0000,0.0000,0.0000,-1.2619,0,S/D,S/D,0.0000 0.0000
4,[],0,0.0000,0.0000,0.0000,-1.2619,0,S/D,S/D,0.0000 0.0000
5,[],0,0.0000,0.0000,0.0000,-1.2619,0,S/D,S/D,0.0000 0.0000
6,[200.89.166.65],1,51.1075,37.0049,73.5168,-0.7315,0,Argentina,,-34.0000 -64.0000
7,[200.89.165.1],1,51.7399,40.7429,78.9509,-0.7249,0,Argentina,,-34.0000 -64.0000
8,[200.89.165.250],1,46.2814,38.9819,59.7279,-0.7816,0,Argentina,,-34.0000 -64.0000
9,[64.209.94.97],1,49.3582,43.3390,57.0869,-0.7496,0,United States,,38.0000 -97.0000
10,[67.16.139.26],1,169.3602,162.1430,177.2358,0.4958,0,United States,,38.0000 -97.0000
11,[4.68.111.121],1,178.8934,166.6050,196.9988,0.5948,1,United States,,38.0000 -97.0000
12,[4.69.138.123],1,214.3923,197.1321,231.0569,0.9632,1,United States,,38.0000 -97.0000
13,[],0,0.0000,0.0000,0.0000,-1.2619,0,S/D,S/D,0.0000 0.0000
14,[4.69.134.21],1,196.8912,193.0220,202.3251,0.7816,1,United States,,38.0000 -97.0000
15,[4.69.151.145],1,203.9990,195.7340,215.1089,0.8554,1,United States,,38.0000 -97.0000
16,[],0,0.0000,0.0000,0.0000,-1.2619,0,S/D,S/D,0.0000 0.0000
17,[4.34.191.254],1,212.1905,210.1951,216.8629,0.9404,1,United States,,38.0000 -97.0000
18,[184.168.0.73],1,213.4805,207.4389,220.7360,0.9538,1,United States,Scottsdale,33.6119 -111.8906
19,[184.168.0.73],1,214.2408,207.8359,229.5392,0.9616,1,United States,Scottsdale,33.6119 -111.8906
20,[97.74.255.129],1,211.9625,207.4199,216.5661,0.9380,1,United States,Scottsdale,33.6119 -111.8906
21,[23.229.137.67],1,210.4143,203.9580,225.9891,0.9219,1,United States,Scottsdale,33.6119 -111.8906
