hop,ips,cant_ips,time,min_times,max_times,zrtt,distinguido,pais,ciudad,lat lng
1,[186.138.57.1],1,89.6523,68.3072,131.0651,-0.8948,0, Argentina ,,-34.0000 -64.0000
2,[],0,0.0000,0.0000,0.0000,-1.3948,0,S/D,S/D,0.0000 0.0000
3,[],0,0.0000,0.0000,0.0000,-1.3948,0,S/D,S/D,0.0000 0.0000
4,[],0,0.0000,0.0000,0.0000,-1.3948,0,S/D,S/D,0.0000 0.0000
5,[200.89.166.81],1,130.4103,74.0030,208.2779,-0.6674,0, Argentina ,,-34.0000 -64.0000
6,[200.89.165.86],1,146.6635,91.1939,221.3540,-0.5768,0, Argentina ,,-34.0000 -64.0000
7,[208.50.25.97],1,388.4875,349.8509,412.5841,0.7721,1, United States ,,38.0000 -97.0000
8,[67.16.143.22],1,409.6053,389.5059,426.9302,0.8899,1, United States ,,38.0000 -97.0000
9,[208.49.181.70],1,388.8336,335.7069,431.7970,0.7740,1, United States ,,38.0000 -97.0000
10,[184.105.222.2],1,409.5398,383.5020,437.8190,0.8895,1, United States ,Fremont,37.5155 -121.8962
11,[184.105.148.150],1,408.6607,395.5681,422.2898,0.8846,1, United States ,Fremont,37.5155 -121.8962
12,[207.23.240.85],1,403.9935,391.6700,419.3311,0.8586,1, Canada ,Vancouver,49.2836 -123.1041
13,[137.82.123.138],1,411.6258,404.3469,415.8621,0.9012,1, Canada ,Vancouver,49.2765 -123.2177
14,[137.82.123.65],1,408.8010,393.8940,431.6399,0.8854,1, Canada ,Vancouver,49.2765 -123.2177
15,[],0,0.0000,0.0000,0.0000,-1.3948,0,S/D,S/D,0.0000 0.0000
16,[137.82.130.49],1,404.7840,385.3800,419.4579,0.8630,1, Canada ,Vancouver,49.2765 -123.2177
