hop,ips,cant_ips,time,min_times,max_times,,distinguido,pais,ciudad,lat lng
1,[190.16.130.1],1,140.6868,914731,2441401,2.01165153783858,0, Argentina ,,-34.0000 -64.0000
5,[200.89.164.209],1,65.4680,535691,802441,-1.59553764488063,0, Argentina ,,-34.0000 -64.0000
6,[200.89.165.129],1,56.4140,437880,646000,-0.490105683705096,0, Argentina ,,-34.0000 -64.0000
7,[200.89.165.150],1,55.2216,434971,741110,-0.358759954465718,0, Argentina ,,-34.0000 -64.0000
8,[208.178.245.21],1,177.9951,691578,2237229,1.71236952761373,0, United States ,,38.0000 -97.0000
9,[67.16.143.22],1,259.5732,2433579,2677078,1.0241076147324,1, United States ,,38.0000 -97.0000
10,[208.49.181.70],1,264.5357,2555871,2755520,-0.255928491545263,1, United States ,,38.0000 -97.0000
11,[184.105.222.2],1,260.6130,2438672,2876360,-0.40437576353032,1, United States ,Fremont,37.5155 -121.8962
12,[184.105.148.150],1,257.6001,2395942,2851522,-0.389175506017602,1, United States ,Fremont,37.5155 -121.8962
13,[207.23.240.85],1,270.5745,2517490,3035920,-0.122071662389243,1, Canada ,Vancouver,49.2836 -123.1041
14,[137.82.123.138],1,244.5790,2408152,2514310,-0.773151586817556,1, Canada ,Vancouver,49.2765 -123.2177
15,[137.82.123.65],1,254.2458,2483470,2597551,-0.177332567806991,1, Canada ,Vancouver,49.2765 -123.2177
17,[137.82.130.49],1,263.6518,2475691,2821779,-0.181689819026289,1, Canada ,Vancouver,49.2765 -123.2177
