hop,ips,cant_ips,time,min_times,max_times,zrtt,distinguido,pais,ciudad,lat lng
1,[190.16.130.1],1,119.9948,65.0401,260.9911,-0.4850,0, Argentina ,,-34.0000 -64.0000
2,[],0,0.0000,0.0000,0.0000,-1.1130,0,S/D,S/D,0.0000 0.0000
3,[],0,0.0000,0.0000,0.0000,-1.1130,0,S/D,S/D,0.0000 0.0000
4,[],0,0.0000,0.0000,0.0000,-1.1130,0,S/D,S/D,0.0000 0.0000
5,[200.89.165.57],1,55.4582,43.7450,71.4998,-0.8228,0, Argentina ,,-34.0000 -64.0000
6,[200.89.165.250],1,66.6420,43.1631,75.8429,-0.7642,0, Argentina ,,-34.0000 -64.0000
7,[207.136.166.241],1,57.5682,46.4299,67.4920,-0.8117,0, United States ,,38.0000 -97.0000
8,[67.16.129.202],1,335.9045,256.7940,397.5201,0.6448,1, United States ,,38.0000 -97.0000
9,[],0,0.0000,0.0000,0.0000,-1.1130,0,S/D,S/D,0.0000 0.0000
10,[63.218.56.110],1,431.2299,416.1239,441.2820,1.1437,1, United States ,Miami,25.7743 -80.1937
11,[203.188.118.121],1,418.9698,411.3550,426.4030,1.0795,1, Hong Kong ,,22.2500 114.1667
12,[203.188.117.34],1,431.2396,419.5471,447.7701,1.1437,1, Hong Kong ,,22.2500 114.1667
13,[137.189.192.250],1,424.4352,415.4470,435.9279,1.1081,1, Hong Kong ,,22.2500 114.1667
14,[137.189.9.57],1,411.1665,406.0302,423.3940,1.0387,1, Hong Kong ,,22.2500 114.1667
15,[137.189.11.73],1,437.6190,411.2351,471.6580,1.1771,1, Hong Kong ,,22.2500 114.1667
