hop,ips,cant_ips,time,min_times,max_times,,distinguido,pais,ciudad,lat lng
1,[190.16.130.1],1,148.3452,679440,2784400,0.217420264123906,0, Argentina ,,-34.0000 -64.0000
5,[200.89.165.57],1,1313.5580,573640,50682878,2.16982207729269,1, Argentina ,,-34.0000 -64.0000
6,[200.89.165.6],1,65.5321,451188,956099,-2.46363424827917,0, Argentina ,,-34.0000 -64.0000
7,[200.89.165.150],1,66.3055,550551,867929,-0.0659199169307184,0, Argentina ,,-34.0000 -64.0000
8,[208.50.25.97],1,64.1338,525360,787828,-0.0715745553319846,0, United States ,,38.0000 -97.0000
9,[64.211.83.226],1,249.4221,2356071,2638330,0.288351598177696,0, United States ,,38.0000 -97.0000
10,[63.218.56.110],1,412.9375,4036791,4301729,0.246547287136669,0, United States ,Miami,25.7743 -80.1937
11,[203.188.118.121],1,419.1623,4031920,4338830,-0.0554531430416611,0, Hong Kong ,,22.2500 114.1667
12,[203.188.117.34],1,409.6593,4034929,4198201,-0.0856507668396424,0, Hong Kong ,,22.2500 114.1667
13,[137.189.192.250],1,409.5233,4024751,4237440,-0.0676659792586907,0, Hong Kong ,,22.2500 114.1667
14,[137.189.9.57],1,422.9235,4050081,4356279,-0.0416762619902723,0, Hong Kong ,,22.2500 114.1667
15,[137.189.11.73],1,421.2769,4074428,4357481,-0.0705663550588173,0, Hong Kong ,,22.2500 114.1667
