hop,ips,cant_ips,time,min_times,max_times,zrtt,distinguido,pais,ciudad,lat lng
1,[190.16.130.1],1,131.8747,67.1821,308.4919,-0.3755,0, Argentina ,,-34.0000 -64.0000
2,[],0,0.0000,0.0000,0.0000,-1.2766,0,S/D,S/D,0.0000 0.0000
3,[],0,0.0000,0.0000,0.0000,-1.2766,0,S/D,S/D,0.0000 0.0000
4,[],0,0.0000,0.0000,0.0000,-1.2766,0,S/D,S/D,0.0000 0.0000
5,[200.89.165.229],1,56.6818,51.6369,62.5341,-0.8892,0, Argentina ,,-34.0000 -64.0000
6,[200.89.165.198],1,46.0153,40.5540,54.7760,-0.9621,0, Argentina ,,-34.0000 -64.0000
7,[200.89.165.86],1,57.1492,42.8569,72.1459,-0.8861,0, Argentina ,,-34.0000 -64.0000
8,[67.17.156.165],1,58.2938,47.3540,78.1059,-0.8782,0, United States ,,38.0000 -97.0000
9,[67.17.74.42],1,317.1817,296.1400,339.1430,0.8908,1, United States ,,38.0000 -97.0000
10,[146.82.54.2],1,311.5910,282.0580,385.2389,0.8526,1, United States ,Cypress,29.9878 -95.6550
11,[194.85.40.229],1,317.1592,309.3181,323.9770,0.8906,1, Russian Federation ,,60.0000 100.0000
12,[194.190.254.118],1,336.4393,312.9032,368.2230,1.0223,1, Russian Federation ,,60.0000 100.0000
13,[93.180.0.172],1,334.8945,309.1080,357.7468,1.0118,1, Russian Federation ,Moscow,55.7522 37.6156
14,[188.44.33.1],1,335.4990,318.0978,363.9162,1.0159,1, Russian Federation ,Moscow,55.7522 37.6156
15,[188.44.33.34],1,343.1967,319.4759,370.2230,1.0685,1, Russian Federation ,Moscow,55.7522 37.6156
16,[93.180.0.18],1,343.1682,322.6810,379.4210,1.0683,1, Russian Federation ,Moscow,55.7522 37.6156
