hop,ips,cant_ips,time,min_times,max_times,,distinguido,pais,ciudad,lat lng
1,[190.16.130.1],1,132.9744,515599,2940331,1.73519621206875,0, Argentina ,,-34.0000 -64.0000
5,[200.89.165.229],1,66.6382,537350,778859,-1.56071613454692,0, Argentina ,,-34.0000 -64.0000
6,[200.89.165.198],1,70.6477,484619,876710,-0.397440015959537,0, Argentina ,,-34.0000 -64.0000
7,[200.89.165.86],1,85.7660,464988,1671271,-0.21373864194288,0, Argentina ,,-34.0000 -64.0000
8,[67.17.156.165],1,244.3443,2115641,3114412,2.15859672429195,0, United States ,,38.0000 -97.0000
9,[67.17.74.42],1,316.6325,2929440,3399751,0.731655026355661,1, United States ,,38.0000 -97.0000
10,[146.82.54.2],1,311.5115,2995050,3275819,-0.548427106865762,1, United States ,Cypress,29.9878 -95.6550
11,[194.85.40.229],1,324.6492,3117061,3393998,-0.246490959148824,1, Russian Federation ,,60.0000 100.0000
12,[194.190.254.118],1,325.6519,3115959,3431668,-0.447162154389726,1, Russian Federation ,,60.0000 100.0000
13,[93.180.0.172],1,346.5930,3275652,3675609,-0.117449541353781,1, Russian Federation ,Moscow,55.7522 37.6156
14,[188.44.33.1],1,353.7120,3369899,3717980,-0.346019572481863,1, Russian Federation ,Moscow,55.7522 37.6156
15,[188.44.33.34],1,377.2802,3538060,3994629,-0.0740063359959428,1, Russian Federation ,Moscow,55.7522 37.6156
16,[93.180.0.18],1,364.5657,3516979,3789778,-0.673997500031134,1, Russian Federation ,Moscow,55.7522 37.6156
