hop,ips,cant_ips,time,min_times,max_times,zrtt,distinguido,pais,ciudad,lat lng
1,[],0,0.0000,0.0000,0.0000,-1.3028,0,S/D,S/D,0.0000 0.0000
2,[],0,0.0000,0.0000,0.0000,-1.3028,0,S/D,S/D,0.0000 0.0000
3,[],0,0.0000,0.0000,0.0000,-1.3028,0,S/D,S/D,0.0000 0.0000
4,[],0,0.0000,0.0000,0.0000,-1.3028,0,S/D,S/D,0.0000 0.0000
5,[200.89.166.125],1,131.5373,80.3430,204.8900,-0.5523,0, Argentina ,,-34.0000 -64.0000
6,[200.89.165.1],1,99.6898,77.7330,139.2541,-0.7340,0, Argentina ,,-34.0000 -64.0000
7,[200.89.165.250],1,174.7402,139.7729,204.5209,-0.3058,0, Argentina ,,-34.0000 -64.0000
8,[208.178.195.205],1,386.9318,309.9310,415.3590,0.9050,1, United States ,Alexandria,38.8048 -77.0469
9,[67.16.148.102],1,356.8565,298.0740,417.8600,0.7334,1, United States ,,38.0000 -97.0000
10,[4.68.111.121],1,305.9683,289.0010,325.4459,0.4430,0, United States ,,38.0000 -97.0000
11,[4.69.138.123],1,357.2707,289.3050,513.9558,0.7357,1, United States ,,38.0000 -97.0000
12,[],0,0.0000,0.0000,0.0000,-1.3028,0,S/D,S/D,0.0000 0.0000
13,[4.69.134.21],1,355.3315,295.8100,419.3289,0.7247,1, United States ,,38.0000 -97.0000
14,[4.69.151.145],1,306.3923,290.1921,319.5510,0.4454,0, United States ,,38.0000 -97.0000
15,[],0,0.0000,0.0000,0.0000,-1.3028,0,S/D,S/D,0.0000 0.0000
16,[4.34.191.254],1,480.9355,404.1169,552.6421,1.4413,1, United States ,,38.0000 -97.0000
17,[184.168.0.69],1,412.9083,404.9549,418.7889,1.0532,1, United States ,Scottsdale,33.6119 -111.8906
18,[184.168.0.69],1,380.7778,295.9208,415.9861,0.8698,1, United States ,Scottsdale,33.6119 -111.8906
19,[97.74.255.129],1,408.5162,404.1438,411.7711,1.0281,1, United States ,Scottsdale,33.6119 -111.8906
20,[23.229.137.67],1,408.7796,388.0281,424.6581,1.0296,1, United States ,Scottsdale,33.6119 -111.8906
