hop,ips,cant_ips,time,min_times,max_times,zrtt,distinguido,pais,ciudad,lat lng
1,[10.16.128.1],1,355.4794,70.8618,1100.5619,1.5115,1,(Private Address),(Private Address),0.0000 0.0000
2,[181.47.254.105],1,100.6431,75.7492,116.0381,-1.3813,0,(Unknown Country?),(Unknown City?),0.0000 0.0000
3,[195.22.220.33],1,121.4628,103.5740,150.0521,-1.1449,0,ARGENTINA,(Unknown city),0.0000 0.0000
4,[195.22.220.32],1,88.7309,59.7479,111.6760,-1.5165,0,ARGENTINA,(Unknown city),0.0000 0.0000
5,[89.221.40.7],1,219.7251,199.2221,258.0080,-0.0295,0,UNITED STATES,Ashburn, VA,39.0500 -77.4833
6,[216.66.30.213],1,246.6393,230.4440,275.6979,0.2760,0,UNITED STATES,(Unknown city),0.0000 0.0000
7,[184.105.213.198],1,240.3803,235.3830,251.4970,0.2050,0,UNITED STATES,San Jose, CA,37.3040 -121.8500
8,[184.105.223.178],1,260.6880,248.2941,285.3541,0.4355,0,(Unknown Country?),(Unknown City?),0.0000 0.0000
9,[184.105.80.14],1,269.5077,258.8799,278.5211,0.5356,1,(Unknown Country?),(Unknown City?),0.0000 0.0000
10,[184.105.223.214],1,273.5696,259.5799,291.0628,0.5817,1,(Unknown Country?),(Unknown City?),0.0000 0.0000
11,[184.105.223.218],1,312.8115,302.4411,323.6110,1.0272,1,(Unknown Country?),(Unknown City?),0.0000 0.0000
12,[184.105.148.150],1,253.2660,243.8400,263.5131,0.3512,0,(Unknown Country?),(Unknown City?),0.0000 0.0000
13,[207.23.240.85],1,252.4338,248.1122,258.6160,0.3418,0,CANADA,VANCOUVER, BC,49.2667 -123.1170
14,[137.82.123.138],1,265.6368,255.6140,283.7501,0.4917,0,CANADA,VANCOUVER, BC,49.2667 -123.1170
15,[137.82.123.65],1,254.8560,247.7410,259.9280,0.3693,0,CANADA,VANCOUVER, BC,49.2667 -123.1170
16,[],0,0.0000,0.0000,0.0000,-2.5237,0,S/D,S/D,0.0000 0.0000
17,[137.82.130.49],1,263.6877,251.9109,271.8461,0.4695,0,CANADA,VANCOUVER, BC,49.2667 -123.1170
