hop,ips,cant_ips,time,min_times,max_times,,distinguido,pais,ciudad,lat lng
1,[10.16.128.1],1,167.3525,632019,4433079,0.267540129689887,0,(Private Address),(Private Address),0.0000 0.0000
2,[181.47.254.105],1,92.4557,714309,1313429,-0.209405725433025,0,(Unknown Country?),(Unknown City?),0.0000 0.0000
3,[208.178.195.210],1,85.4245,594780,1153831,-0.0757904100309599,0,UNITED STATES,(Unknown city),0.0000 0.0000
4,[208.178.195.209],1,1325.2560,631120,50755711,2.37906083896073,1,UNITED STATES,(Unknown city),0.0000 0.0000
5,[67.17.95.214],1,206.7273,1955960,2148581,-2.26413161722734,0,UNITED STATES,(Unknown city),0.0000 0.0000
6,[64.211.206.226],1,213.5899,1990752,2243581,-0.0484359849741829,0,UNITED STATES,Tukwila WA,47.4777 -122.2680
7,[63.218.56.110],1,379.5312,3717089,3910720,0.26476172747882,0,UNITED STATES,Miami FL,25.7757 -80.2108
8,[203.188.118.121],1,381.6040,3793721,3838999,-0.0578662506421032,0,HONG KONG,(Unknown city),0.0000 0.0000
9,[203.188.117.34],1,371.6587,3639481,3799591,-0.0815277554697854,0,HONG KONG,(Unknown city),0.0000 0.0000
10,[137.189.192.250],1,376.4910,3569739,3911049,-0.0524332851507202,0,HONG KONG,Hong Kong,22.2500 114.1670
11,[137.189.9.57],1,377.4498,3674610,3912539,-0.0600595188274268,0,HONG KONG,(Unknown city),0.0000 0.0000
12,[137.189.11.73],1,377.5692,3597150,3850219,-0.0617121483738905,0,HONG KONG,(Unknown city),0.0000 0.0000
