hop,ips,cant_ips,time,min_times,max_times,zrtt,distinguido,pais,ciudad,lat lng
1,[10.16.128.1],1,167.3525,63.2019,443.3079,-0.6284,0,(Private Address),(Private Address),0.0000 0.0000
2,[181.47.254.105],1,92.4557,71.4309,131.3429,-0.8690,0,(Unknown Country?),(Unknown City?),0.0000 0.0000
3,[208.178.195.210],1,85.4245,59.4780,115.3831,-0.8916,0,UNITED STATES,(Unknown city),0.0000 0.0000
4,[208.178.195.209],1,1325.2560,63.1120,5075.5711,3.0919,1,UNITED STATES,(Unknown city),0.0000 0.0000
5,[67.17.95.214],1,206.7273,195.5960,214.8581,-0.5018,0,UNITED STATES,(Unknown city),0.0000 0.0000
6,[64.211.206.226],1,213.5899,199.0752,224.3581,-0.4798,0,UNITED STATES,Tukwila WA,47.4777 -122.2680
7,[63.218.56.110],1,379.5312,371.7089,391.0720,0.0534,0,UNITED STATES,Miami FL,25.7757 -80.2108
8,[203.188.118.121],1,381.6040,379.3721,383.8999,0.0600,0,HONG KONG,(Unknown city),0.0000 0.0000
9,[203.188.117.34],1,371.6587,363.9481,379.9591,0.0281,0,HONG KONG,(Unknown city),0.0000 0.0000
10,[137.189.192.250],1,376.4910,356.9739,391.1049,0.0436,0,HONG KONG,Hong Kong,22.2500 114.1670
11,[137.189.9.57],1,377.4498,367.4610,391.2539,0.0467,0,HONG KONG,(Unknown city),0.0000 0.0000
12,[137.189.11.73],1,377.5692,359.7150,385.0219,0.0470,0,HONG KONG,(Unknown city),0.0000 0.0000
