hop,ips,cant_ips,time,min_times,max_times,zrtt,distinguido,pais,ciudad,lat lng
1,[10.16.128.1],1,76.6842,67.3759,83.5161,-1.5887,0,(Private Address),(Private Address),0.0000 0.0000
2,[181.47.254.105],1,89.6322,83.6849,95.7148,-1.4726,0,(Unknown Country?),(Unknown City?),0.0000 0.0000
3,[208.178.195.210],1,99.5955,83.7100,115.3920,-1.3833,0,UNITED STATES,(Unknown city),0.0000 0.0000
4,[208.178.195.209],1,86.6125,67.4729,107.8761,-1.4997,0,UNITED STATES,(Unknown city),0.0000 0.0000
5,[67.16.133.22],1,308.5252,283.8519,350.7628,0.4895,0,UNITED STATES,(Unknown city),0.0000 0.0000
6,[67.17.74.42],1,305.6035,292.3141,315.3760,0.4634,0,UNITED STATES,Warsaw,52.2333 21.0000
7,[146.82.54.2],1,303.3803,298.6190,306.5760,0.4434,0,UNITED STATES,(Unknown city),0.0000 0.0000
8,[194.85.40.133],1,326.8692,316.6831,334.7700,0.6540,1,RUSSIAN FEDERATION,(Unknown city),0.0000 0.0000
9,[194.190.254.118],1,342.3903,323.5910,372.9761,0.7931,1,RUSSIAN FEDERATION,(Unknown city),0.0000 0.0000
10,[93.180.0.174],1,341.6123,339.1681,347.5561,0.7861,1,RUSSIAN FEDERATION,Moscow,55.7500 37.6000
11,[188.44.33.41],1,330.6605,327.1101,332.1381,0.6880,1,(Unknown Country?),(Unknown City?),0.0000 0.0000
12,[188.44.33.22],1,356.5297,340.0409,371.2740,0.9199,1,(Unknown Country?),(Unknown City?),0.0000 0.0000
13,[93.180.0.18],1,332.7693,309.5870,367.6491,0.7069,1,RUSSIAN FEDERATION,Moscow,55.7500 37.6000
