hop,ips,cant_ips,time,min_times,max_times,,distinguido,pais,ciudad,lat lng
1,[10.16.128.1],1,95.5640,750730,1524408,1.05553329333376,0,(Private Address),(Private Address),0.0000 0.0000
2,[181.47.254.105],1,91.2795,754051,1110981,-0.426761961188803,0,(Unknown Country?),(Unknown City?),0.0000 0.0000
3,[208.178.195.210],1,91.2064,673418,1070521,-0.364241860887884,0,UNITED STATES,(Unknown city),0.0000 0.0000
4,[208.178.195.209],1,89.3267,770431,1014640,-0.391061638919807,0,UNITED STATES,(Unknown city),0.0000 0.0000
5,[67.16.133.22],1,313.3519,3068309,3203259,2.96259676599759,1,UNITED STATES,(Unknown city),0.0000 0.0000
6,[67.17.74.42],1,324.9062,3120251,3426418,-0.191627952392156,1,UNITED STATES,Warsaw,52.2333 21.0000
7,[146.82.54.2],1,301.6198,2974801,3040299,-0.708853591978574,0,UNITED STATES,(Unknown city),0.0000 0.0000
8,[194.85.40.133],1,343.4532,3343358,3543570,0.257878712617476,1,RUSSIAN FEDERATION,(Unknown city),0.0000 0.0000
9,[194.190.254.118],1,325.6663,3113081,3362930,-0.627211076044465,1,RUSSIAN FEDERATION,(Unknown city),0.0000 0.0000
10,[93.180.0.174],1,332.7895,3198199,3473821,-0.25740959660629,1,RUSSIAN FEDERATION,Moscow,55.7500 37.6000
11,[188.44.33.41],1,331.3373,3190570,3395891,-0.384715211869742,1,(Unknown Country?),(Unknown City?),0.0000 0.0000
12,[188.44.33.22],1,323.3420,3115180,3299620,-0.481850432527706,1,(Unknown Country?),(Unknown City?),0.0000 0.0000
13,[93.180.0.18],1,318.0125,3087890,3275621,-0.442275449533406,1,RUSSIAN FEDERATION,Moscow,55.7500 37.6000
