hop,ips,cant_ips,time,min_times,max_times,,distinguido,pais,ciudad,lat lng
1,[10.16.128.1],1,77.6073,678730,976300,1.38151415724272,0,(Private Address),(Private Address),0.0000 0.0000
2,[181.47.254.105],1,105.1913,746500,1358070,0.237571895028481,0,(Unknown Country?),(Unknown City?),0.0000 0.0000
3,[208.178.195.210],1,89.2450,673931,1231081,-0.757887218162066,0,UNITED STATES,(Unknown city),0.0000 0.0000
4,[208.178.195.209],1,85.5868,555530,956972,-0.476880628986325,0,UNITED STATES,(Unknown city),0.0000 0.0000
5,[67.16.147.134],1,221.8769,2027779,2572858,2.72348349923068,1,UNITED STATES,(Unknown city),0.0000 0.0000
6,[4.68.111.121],1,203.4982,1814930,2276142,-0.813511800278998,0,UNITED STATES,New York NY,40.6698 -73.9438
7,[4.69.138.123],1,236.7666,2285762,2472341,0.367563826694938,1,UNITED STATES,(Unknown city),0.0000 0.0000
9,[4.69.134.21],1,244.5918,2319441,2596791,-0.214276071232017,1,UNITED STATES,Washington DC,38.9050 -77.0162
10,[4.69.151.169],1,240.6772,2347281,2516139,-0.482744032560894,1,UNITED STATES,(Unknown city),0.0000 0.0000
12,[4.34.191.254],1,272.5105,2546380,2886069,0.334745689136966,1,UNITED STATES,(Unknown city),0.0000 0.0000
13,[184.168.0.73],1,261.8010,2556291,2682230,-0.638131087743569,1,(Unknown Country?),(Unknown City?),0.0000 0.0000
14,[184.168.0.73],1,266.2787,2619340,2755749,-0.29082733279937,1,(Unknown Country?),(Unknown City?),0.0000 0.0000
15,[97.74.255.129],1,239.7889,2264190,2507889,-0.998997965386976,1,UNITED STATES,Scottsdale AZ,33.6860 -111.8700
16,[23.229.137.67],1,240.7335,2223041,2556739,-0.371622930183573,1,(Unknown Country?),(Unknown City?),0.0000 0.0000
