hop,ips,cant_ips,time,min_times,max_times,zrtt,distinguido,pais,ciudad,lat lng
1,[10.16.128.1],1,54.2575,52.3529,57.0741,-1.2007,0,(Private Address),(Private Address),0.0000 0.0000
2,[181.47.254.105],1,55.6217,49.1240,61.9328,-1.1836,0,(Unknown Country?),(Unknown City?),0.0000 0.0000
3,[208.178.195.210],1,57.5438,55.1991,58.4869,-1.1595,0,UNITED STATES,(Unknown city),0.0000 0.0000
4,[208.178.195.209],1,52.7110,49.2451,57.4281,-1.2201,0,UNITED STATES,(Unknown city),0.0000 0.0000
5,[67.16.148.102],1,181.6445,179.3311,186.3351,0.3968,0,UNITED STATES,(Unknown city),0.0000 0.0000
6,[4.68.111.121],1,179.8991,175.5781,189.5990,0.3749,0,UNITED STATES,New York, NY,40.6698 -73.9438
7,[4.69.138.123],1,210.5900,203.6119,217.2742,0.7598,1,UNITED STATES,(Unknown city),0.0000 0.0000
8,[],0,0.0000,0.0000,0.0000,-1.8811,0,S/D,S/D,0.0000 0.0000
9,[4.69.134.21],1,206.2411,203.5880,208.8170,0.7053,1,UNITED STATES,Washington, DC,38.9050 -77.0162
10,[4.69.151.169],1,214.2167,206.2669,225.3370,0.8053,1,UNITED STATES,(Unknown city),0.0000 0.0000
11,[4.69.146.30],1,81.1568,0.0000,324.6272,-0.8634,0,UNITED STATES,(Unknown city),0.0000 0.0000
12,[4.34.191.254],1,231.9777,230.8891,233.5730,1.0280,1,UNITED STATES,(Unknown city),0.0000 0.0000
13,[184.168.0.73],1,218.6357,215.6119,220.2950,0.8607,1,(Unknown Country?),(Unknown City?),0.0000 0.0000
14,[184.168.0.73],1,223.7365,217.5770,235.8789,0.9247,1,(Unknown Country?),(Unknown City?),0.0000 0.0000
15,[97.74.255.129],1,216.7565,213.5301,219.8780,0.8371,1,UNITED STATES,Scottsdale, AZ,33.6860 -111.8700
16,[23.229.137.67],1,215.0680,211.6690,219.5761,0.8159,1,(Unknown Country?),(Unknown City?),0.0000 0.0000
