hop	ips	cant_ips	time	min_times	max_times	zrtt	distinguido	pais	ciudad	lat	lng
1	[10.16.128.1]	1	1342.9742	59.3710	5103.8868	3.2210	1	  		0.0000	0.0000
2	[181.47.254.105]	1	69.6040	55.2061	83.9779	-0.9174	0	 Argentina 	Federal	-30.9546	-58.7833
3	[208.178.195.210]	1	56.5428	46.3779	72.6662	-0.9598	0	 United States 	Alexandria	38.8048	-77.0469
4	[208.178.195.209]	1	76.5802	67.3740	91.5270	-0.8947	0	 United States 	Alexandria	38.8048	-77.0469
5	[67.16.133.22]	1	299.5514	292.6822	307.2891	-0.1701	0	 United States 		38.0000	-97.0000
6	[67.17.74.42]	1	304.6102	293.0150	315.3939	-0.1536	0	 United States 		38.0000	-97.0000
7	[146.82.54.2]	1	338.5273	328.0811	352.6320	-0.0434	0	 United States 	Cypress	29.9878	-95.6550
8	[194.85.40.133]	1	359.0640	355.2260	367.0290	0.0233	0	 Russian Federation 		60.0000	100.0000
9	[194.190.254.118]	1	348.1282	339.9289	357.3151	-0.0122	0	 Russian Federation 		60.0000	100.0000
10	[93.180.0.174]	1	353.3299	339.0009	368.1169	0.0047	0	 Russian Federation 	Moscow	55.7522	37.6156
11	[188.44.33.41]	1	337.5837	315.8250	351.5699	-0.0465	0	 Russian Federation 	Moscow	55.7522	37.6156
12	[188.44.33.22]	1	355.8341	337.8921	369.6780	0.0129	0	 Russian Federation 	Moscow	55.7522	37.6156
13	[93.180.0.18]	1	332.1055	315.4600	342.7410	-0.0643	0	 Russian Federation 	Moscow	55.7522	37.6156
