hop,ips,cant_ips,time,min_times,max_times,zrtt,distinguido,pais,ciudad,lat lng
1,[10.16.128.1],1,96.8125,84.8341,103.6880,-0.7065,0,(Private Address),(Private Address),0.0000 0.0000
2,[181.47.254.105],1,69.7270,62.8500,83.8821,-1.0097,0,(Unknown Country?),(Unknown City?),0.0000 0.0000
3,[208.178.195.210],1,65.6995,46.3760,87.7361,-1.0547,0,UNITED STATES,(Unknown city),0.0000 0.0000
4,[208.178.195.209],1,61.7824,39.2828,75.6829,-1.0986,0,UNITED STATES,(Unknown city),0.0000 0.0000
5,[67.16.148.102],1,215.7685,193.1319,260.2670,0.6249,1,UNITED STATES,(Unknown city),0.0000 0.0000
6,[4.68.111.121],1,199.5473,183.1520,227.7670,0.4433,0,UNITED STATES,New York, NY,40.6698 -73.9438
7,[4.69.138.123],1,226.7570,207.5140,235.7790,0.7478,1,UNITED STATES,(Unknown city),0.0000 0.0000
8,[],0,0.0000,0.0000,0.0000,-1.7901,0,S/D,S/D,0.0000 0.0000
9,[4.69.134.21],1,226.5388,214.4439,238.9939,0.7454,1,UNITED STATES,Washington, DC,38.9050 -77.0162
10,[4.69.151.169],1,219.7366,211.2658,228.0629,0.6693,1,UNITED STATES,(Unknown city),0.0000 0.0000
11,[],0,0.0000,0.0000,0.0000,-1.7901,0,S/D,S/D,0.0000 0.0000
12,[4.34.191.254],1,250.5020,245.3492,256.0971,1.0136,1,UNITED STATES,(Unknown city),0.0000 0.0000
13,[184.168.0.73],1,229.0170,216.7439,241.0741,0.7731,1,(Unknown Country?),(Unknown City?),0.0000 0.0000
14,[184.168.0.73],1,233.6300,220.4461,247.6339,0.8248,1,(Unknown Country?),(Unknown City?),0.0000 0.0000
15,[97.74.255.129],1,236.7283,235.6322,239.6591,0.8594,1,UNITED STATES,Scottsdale, AZ,33.6860 -111.8700
16,[23.229.137.67],1,226.7688,223.3591,232.8649,0.7480,1,(Unknown Country?),(Unknown City?),0.0000 0.0000
